user_name,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,79100
OpenBB-finance,OpenBB,https://github.com/OpenBB-finance/OpenBB,33500
ccxt,ccxt,https://github.com/ccxt/ccxt,32900
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,28600
dogecoin,dogecoin,https://github.com/dogecoin/dogecoin,14500
monero-project,monero,https://github.com/monero-project/monero,9000
xmrig,xmrig,https://github.com/xmrig/xmrig,8700
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,8200
dvf,blockchain,https://github.com/dvf/blockchain,7800
kroma-network,tachyon,https://github.com/kroma-network/tachyon,7800
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7700
StockSharp,StockSharp,https://github.com/StockSharp/StockSharp,7200
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
firmai,financial-machine-learning,https://github.com/firmai/financial-machine-learning,7100
cosmos,cosmos-sdk,https://github.com/cosmos/cosmos-sdk,6200
sammchardy,python-binance,https://github.com/sammchardy/python-binance,6100
tendermint,tendermint,https://github.com/tendermint/tendermint,5700
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5600
sea-protocol,seaprotocol,https://github.com/sea-protocol/seaprotocol,5100
mimblewimble,grin,https://github.com/mimblewimble/grin,5000
