user_name,repo_name,repo_url,stars
electron,electron,https://github.com/electron/electron,114000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,88700
microsoft,playwright,https://github.com/microsoft/playwright,66600
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,49100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31900
ovity,octotree,https://github.com/ovity/octotree,22800
feder-cr,Auto_Jobs_Applier_AIHawk,https://github.com/feder-cr/Auto_Jobs_Applier_AIHawk,21200
segment-boneyard,nightmare,https://github.com/segment-boneyard/nightmare,19500
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,15500
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,15400
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15000
google,WebFundamentals,https://github.com/google/WebFundamentals,13900
schickling,chromeless,https://github.com/schickling/chromeless,13200
crimx,ext-saladict,https://github.com/crimx/ext-saladict,12000
casesandberg,react-color,https://github.com/casesandberg/react-color,12000
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,12000
chromedp,chromedp,https://github.com/chromedp/chromedp,11000
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,10900
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,10200
ultrafunkamsterdam,undetected-chromedriver,https://github.com/ultrafunkamsterdam/undetected-chromedriver,9900
